IE Code,Name,Add_1,Add_2,Add_3,IEC Status,PAN
0314000461,EA PACKAGING INDIA PRIVATE LIMITED,"222, DIMPLE ARCADE PREMISES CHS LTD","THAKUR COMPLEX, KANDIVALI (E) Conta",MUMBAI,7,AADCE4851HFT001
0310027314,KANAK METAL AND ALLOYS,"NO.11, 1ST FLOOR , PLOT NO 4,","MARDIA BHAVAN, KHETWADI, 6TH LANE,",MUMBAI,9,APPPS5240GFT001
2403005738,ARIHANT EXPORTERS,GROUND FLOOR 09 MEDICARE COMPLEX,NR A ONE AUTO GARAGE,SURENDRANAGAR,9,AAJFA6067GFT001
0316909637,ARSIM EXPORTS LLP,PLOT NO 7 MARWAH ESTATE,SAKI VIHAR ROAD ANDHERI EAST,MUMBAI,9,ABEFA8235EFT001
0314059318,JMB PHARMACEUTICALS PRIVATE LIMITED,G-17 MEGHAL INDUSTRIAL ESTATE,"DEVIDAYAL ROAD, MULUND WEST","MUMBAI, MAHARASHTRA",9,AADCJ3908NFT001
0316957640,SDR CLOTHING COMPANY PRIVATE LIMITED,"112 & 114,  SAMRUDDHI COMMERCIAL CO","OFF. LINK ROAD, MINDSPACE, MALAD WE",Mumbai,9,AAICS9418BFT001
0388141361,PANACIA ENTERPRISES,"218.220 SAMUL STREET,  KAPURWALA BL","1ST FLR,  OFF.NO.2,  MASJID BUNDER",MUMBAI,9,AJGPS8751BFT001
0397046251,I.G.FABRICHEMICALS,SAMRAT BHAVAN 1/174 GUJRAT SOCIETY,"SION (W) Contact No: 24072087, fax","MUMBAI         ,MAHARASHTRA",9,AADPS6021LFT001
0308069161,ZEN CHEMICALS PRIVATE LIMITED,"F-12, 4TH FLOOR, PINNACLE BUSINESS","PARK, M C RD, SHANTI NAGAR, ANDHERI",MUMBAI,9,AAACZ2727JFT001
0388039604,COTTOR PLANTS (INDIA) PVT LTD,"706, ACME PLAZA, 7TH FLOOR, ANDHERI","OPP. SANGAM TALKIES, ANDHERI EAST,",MUMBAI,9,AAACC1893NFT001
0316915131,UNIQUE MAX,"EL 120, UNIQUE HOUSE, ELECTRONIC","ZONE, MIDC, MAHAPE, Contact No: 919",NAVI MUMBAI,9,AAEFU5171EFT001
